Channel:,Lum, Red, Green, Blue
Means:,600,5776, 760,5595, 697,8486, 343,5733
Note: Peaks measured from 20% upward
714, 3, 4, 10, 7
715, 5, 3, 6, 0
716, 6, 5, 12, 5
717, 6, 7, 3, 7
718, 8, 4, 7, 8
719, 8, 8, 2, 6
720, 5, 7, 5, 3
721, 9, 6, 2, 9
722, 4, 3, 3, 9
723, 7, 5, 8, 5
724, 4, 7, 7, 8
725, 7, 9, 9, 6
726, 3, 6, 6, 7
727, 1, 2, 8, 9
728, 7, 5, 11, 5
729, 7, 4, 6, 8
730, 3, 10, 5, 9
731, 0, 3, 5, 4
732, 4, 5, 6, 5
733, 7, 7, 8, 10
734, 7, 13, 8, 3
735, 10, 7, 2, 7
736, 6, 5, 3, 2
737, 4, 4, 9, 9
738, 5, 1, 3, 9
739, 4, 2, 4, 5
740, 7, 8, 7, 7
741, 4, 8, 3, 3
742, 5, 3, 4, 8
743, 4, 2, 7, 4
744, 2, 3, 5, 10
745, 1, 3, 1, 5
746, 4, 3, 5, 6
747, 5, 7, 4, 5
748, 3, 3, 6, 7
749, 5, 5, 4, 7
750, 5, 6, 5, 1
751, 4, 4, 7, 7
752, 5, 3, 5, 6
753, 5, 5, 6, 5
754, 8, 2, 4, 4
755, 5, 3, 2, 4
756, 8, 8, 2, 4
757, 6, 9, 4, 4
758, 8, 3, 7, 6
759, 5, 10, 4, 7
760, 6, 4, 6, 7
761, 8, 2, 2, 6
762, 9, 7, 6, 5
763, 3, 3, 5, 11
764, 3, 8, 8, 6
765, 3, 3, 5, 5
766, 8, 5, 4, 2
767, 3, 4, 7, 7
768, 3, 2, 9, 7
769, 4, 9, 4, 8
770, 5, 4, 4, 5
771, 8, 7, 10, 6
772, 5, 6, 3, 7
773, 4, 4, 4, 4
774, 4, 3, 3, 4
775, 6, 6, 3, 5
776, 5, 2, 6, 5
777, 4, 7, 5, 4
778, 7, 5, 8, 2
779, 4, 9, 8, 8
780, 5, 4, 4, 8
781, 5, 4, 8, 7
782, 4, 1, 3, 9
783, 7, 7, 5, 4
784, 8, 3, 4, 6
785, 4, 2, 8, 6
786, 5, 6, 8, 4
787, 6, 1, 7, 6
788, 2, 7, 5, 7
789, 6, 2, 4, 3
790, 4, 4, 3, 8
791, 7, 5, 4, 6
792, 4, 4, 6, 2
793, 3, 5, 6, 7
794, 3, 10, 6, 8
